model,role,accuracy,balanced_accuracy,macro_f1,log_loss,multiclass_brier,expected_calibration_error,temperature
Original Extra Trees,baseline,0.8903333333333333,0.8774411240094523,0.8719268843414852,0.2537679149372943,0.15318823318756516,0.01019951573830039,1.0241675504159058
LGB-S15-C40,selected,0.8955,0.8765987051079022,0.8753886861094754,0.24099594130107108,0.14669419519938023,0.007449496990961081,0.9568861994399116
