policy,exact_action_accuracy,unsafe_automation_rate,unsafe_execution_rate,severe_unsafe_execution_rate,appropriate_escalation_recall,safe_automation_coverage,over_escalation_rate,automation_rate,human_review_rate,abstention_rate,self_repair_rate,execute_rate
Fully Autonomous,0.1286,0.8294,0.8294,0.5434,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Always Human,0.286,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Confidence Only,0.6164,0.6076923076923076,0.6076923076923076,0.13727810650887573,0.7523510971786834,0.7772567409144197,0.2227432590855803,0.338,0.1254,0.5366,0.0,0.338
Criticality Only,0.2754,0.7361197754210854,0.7361197754210854,0.5701809107922645,0.7154569568362672,0.4958968347010551,0.5041031652989449,0.3206,0.6794,0.0,0.0,0.3206
Verifier Only,0.3868,0.7092250922509226,0.7092250922509226,0.4974169741697417,0.5365324330841572,0.9237983587338804,0.07620164126611957,0.542,0.371,0.087,0.0,0.542
HumanGate-Q,0.744,0.40046838407494145,0.09694793536804308,0.0,0.876296117675428,0.9003516998827668,0.09964830011723329,0.2562,0.1434,0.6004,0.1448,0.1114
