risk_threshold,automation_coverage,selective_risk
0.05,0.0034,0.0
0.075,0.0096,0.0
0.1,0.02,0.0
0.125,0.0392,0.00510204081632653
0.15,0.0656,0.051829268292682924
0.175,0.0806,0.06451612903225806
0.2,0.0928,0.06896551724137931
0.22499999999999998,0.1038,0.08670520231213873
0.25,0.1168,0.1095890410958904
0.27499999999999997,0.13,0.13692307692307693
0.3,0.1518,0.1857707509881423
0.32499999999999996,0.176,0.25113636363636366
0.35,0.1964,0.280040733197556
0.37499999999999994,0.2256,0.34574468085106386
0.39999999999999997,0.2556,0.40375586854460094
0.42499999999999993,0.2862,0.453529000698812
0.44999999999999996,0.304,0.4776315789473684
0.475,0.3302,0.5136281041792853
0.49999999999999994,0.354,0.5451977401129944
0.525,0.3724,0.5655209452201934
0.5499999999999999,0.3904,0.5829918032786885
0.575,0.4212,0.6092117758784426
0.6,0.468,0.6440170940170941
0.625,0.522,0.6762452107279694
0.65,0.583,0.7084048027444254
0.675,0.6358,0.732620320855615
0.7,0.674,0.7474777448071217
0.725,0.699,0.7562231759656652
0.75,0.7224,0.7638427464008859
0.775,0.7472,0.7716809421841542
0.7999999999999999,0.781,0.781562099871959
0.825,0.8208,0.7921539961013645
0.85,0.8614,0.801950313443232
0.875,0.8884,0.8079693831607384
0.9,0.9076,0.8120317320405465
0.9249999999999999,0.913,0.8131434830230011
0.95,0.913,0.8131434830230011
