rank,candidate,cv_folds,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_macro_f1_mean,cv_fit_seconds_mean,search_seconds,parameter__n_estimators,parameter__learning_rate,parameter__num_leaves,parameter__min_child_samples,parameter__reg_lambda,parameter__colsample_bytree,parameter__subsample,parameter__subsample_freq,selected
1,LGB-S15-C40,3,0.8899479166666667,0.002478203594452172,0.8693242804561295,0.8683106591888583,0.38423387209574383,1.4442245999816805,220,0.04,15,40,1.0,1.0,1.0,0,True
2,LGB-S15-L05,3,0.8897395833333333,0.002725307385823133,0.869330629519106,0.8683005070489408,0.5080215136210123,1.8055132000008598,220,0.04,15,20,0.5,1.0,1.0,0,False
3,LGB-S15,3,0.8895833333333334,0.002124591463996985,0.8689466659239803,0.8678877310525087,0.35715730985005695,1.340443100023549,180,0.05,15,20,1.0,1.0,1.0,0,False
4,LGB-S07,3,0.8894270833333332,0.0021738163286155283,0.8692803135067044,0.8678808515448969,0.37320804595947266,1.3739179999683984,260,0.03,7,20,1.0,1.0,1.0,0,False
5,LGB-S11,3,0.8891666666666667,0.0016941099965927995,0.8686327181810055,0.8675750900058676,0.30500610669453937,1.1720598000101745,180,0.05,11,20,1.0,1.0,1.0,0,False
6,LGB-S31-Bag,3,0.8886458333333334,0.00359563658210274,0.867799857062394,0.8668610557246214,0.6046063899993896,2.1308675999753177,180,0.04,31,20,1.0,0.9,0.9,1,False
